word,word
(,1
),1
",",14
.,4
:,1
Ainda,1
Descendia,1
Jiguê,1
Macunaíma,3
Nas,1
Sofará,2
Tapanhumas,1
Uraricoera,1
a,2
amazônica,1
amorosos,1
anta,1
armadilha,1
as,1
até,1
branco,1
brincadeiras,1
busca,1
caçada,1
circunstâncias,1
com,2
comer,1
como,1
constante,1
da,2
dado,1
das,1
de,4
dependendo,1
desde,1
do,1
dos,1
e,2
em,1
esperta,1
floresta,1
gente,1
havia,1
herói,1
infância,1
iniciando,1
inseto,1
irmão,1
irão,1
lhe,1
lindo,1
longo,1
margem,1
menino,1
mesmo,1
metamorfoses,1
mulher,1
narrativa,1
nasceu,1
negro,1
nossa,1
num,1
numa,1
o,1
ocorrer,1
pato,1
peixe,1
plena,1
por,1
pra,1
prazeres,1
preguiçoso,1
primeira,1
processo,1
príncipe,1
que,2
revelava-se,1
seu,1
sujeito,1
só,1
transas,1
transforma-se,1
tribo,1
tripas,1
um,3
uma,1
vira,1
várias,1
à,1
índio,1
